target,Tm1,Tm2,Tm3,Tm4,Tm5,Tm6,Tm7,trend,skew,mean,stddev,hurst,serialcorr,date
0,-4,1,-2,-7,-1,3,1,0.717137165600636,-0.4771296892664079,-1.28571428571429,3.40168025708304,-0.344324461666541,0.8300429441843629,2010-01-02
4,0,-4,1,-2,-7,-1,3,0.657951694959769,-0.426925027424804,-1.42857142857143,3.30943816264649,-0.448416601800979,0.72878566424148,2010-01-03
2,4,0,-4,1,-2,-7,-1,0.6736781031725552,-0.182484815476286,-1.28571428571429,3.5456210417116703,-0.399202548011782,0.9417934934774069,2010-01-04
6,2,4,0,-4,1,-2,-7,0.9202595683963192,-0.40408822796245597,-0.857142857142857,3.76069902316805,-0.333150893654292,0.653265386445962,2010-01-05
1,6,2,4,0,-4,1,-2,0.835824619409585,0.0,1.0,3.41565025531987,-0.284816197086296,0.705456986111273,2010-01-06
-2,1,6,2,4,0,-4,1,0.7435792176426479,-0.28855503026741197,1.42857142857143,3.15473944286703,-0.215694436596958,0.705456986111273,2010-01-07
0,-2,1,6,2,4,0,-4,0.8050764858994129,0.0,1.0,3.41565025531987,-0.138319862919858,0.705456986111273,2010-01-08
2,0,-2,1,6,2,4,0,0.648952659357777,0.437153256245611,1.57142857142857,2.69920623252731,-0.180487639143054,0.797242825708126,2010-01-09
0,2,0,-2,1,6,2,4,0.7050145626452579,0.167469594668236,1.85714285714286,2.60950643025148,-0.24246163974108603,0.624859383832089,2010-01-10
1,0,2,0,-2,1,6,2,0.655906597539789,0.759755056366192,1.28571428571429,2.49761791275112,-0.278982988057335,0.705456986111273,2010-01-11
1,1,0,2,0,-2,1,6,0.795791581717012,0.9599203967902091,1.14285714285714,2.47847879612821,-0.507514068410463,0.911348028176382,2010-01-12
-4,1,1,0,2,0,-2,1,0.54256086697466,-0.877408290572616,0.42857142857142894,1.2724180205607,-0.598341608500845,0.6605848876810699,2010-01-13
0,-4,1,1,0,2,0,-2,1.23028673169179,-0.8261691987695959,-0.28571428571428603,2.05866345916355,-0.47245754370242604,0.8401335841628991,2010-01-14
